name,read1,read2
03Dap18523,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18523/XH-4057-18523_S211_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18523/XH-4057-18523_S211_L008_R2_001.fastq.gz
03Dap18524,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18524/XH-4057-18524_S210_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18524/XH-4057-18524_S210_L008_R2_001.fastq.gz
03Dap18525,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18525/XH-4057-18525_S343_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18525/XH-4057-18525_S343_L008_R2_001.fastq.gz
03Dap18526,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18526/XH-4057-18526_S342_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18526/XH-4057-18526_S342_L008_R2_001.fastq.gz
03Dap18527,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18527/XH-4057-18527_S156_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18527/XH-4057-18527_S156_L008_R2_001.fastq.gz
03Dap18528,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18528/XH-4057-18528_S153_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18528/XH-4057-18528_S153_L008_R2_001.fastq.gz
03Dap18529,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18529/XH-4057-18529_S152_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18529/XH-4057-18529_S152_L008_R2_001.fastq.gz
03Dap18532,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18532/XH-4057-18532_S337_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18532/XH-4057-18532_S337_L008_R2_001.fastq.gz
03Dap18542,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18542/XH-4057-18542_S151_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18542/XH-4057-18542_S151_L008_R2_001.fastq.gz
03Dap18552,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18552/XH-4057-18552_S163_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18552/XH-4057-18552_S163_L008_R2_001.fastq.gz
03Dap18562,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18562/XH-4057-18562_S157_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18562/XH-4057-18562_S157_L008_R2_001.fastq.gz
03Dap18725,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18725/XH-4057-18725_S178_L008_R1_001.fastq.gz,/fs/cbsuclarkfs1/storage/ede34/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18725/XH-4057-18725_S178_L008_R2_001.fastq.gz
